tool,model,avg_duration,n
urn:mcp:tool:groq.generate_jsonld,llama-3.3-70b-versatile,0.4999039999999999928093075141,10
urn:mcp:tool:groq.generate_jsonld,openai/gpt-oss-120b,0.4999039999999999928093075141,10
urn:mcp:tool:groq.generate_jsonld,openai/gpt-oss-20b,0.4999039999999999928093075141,10
urn:mcp:tool:llm.rankEntities,llama-3.3-70b-versatile,0.2777488999999999652601445632,10
urn:mcp:tool:llm.rankEntities,openai/gpt-oss-120b,0.2777488999999999652601445632,10
urn:mcp:tool:llm.rankEntities,openai/gpt-oss-20b,0.2777488999999999652601445632,10
urn:mcp:tool:summarize_rdf_ttl,llama-3.3-70b-versatile,0.7280314999999999869828570809,10
urn:mcp:tool:summarize_rdf_ttl,openai/gpt-oss-120b,1.137556099999999936756012175,10
urn:mcp:tool:summarize_rdf_ttl,openai/gpt-oss-20b,1.581061600000000133547928272,10
urn:mcp:tool:wikidata.schemaWalk,llama-3.3-70b-versatile,0.8489619999999998611883711419,10
urn:mcp:tool:wikidata.schemaWalk,openai/gpt-oss-120b,0.8489619999999998611883711419,10
urn:mcp:tool:wikidata.schemaWalk,openai/gpt-oss-20b,0.8489619999999998611883711419,10
urn:mcp:tool:wikidata.searchEntities,llama-3.3-70b-versatile,0.2020795000000000118944853966,10
urn:mcp:tool:wikidata.searchEntities,openai/gpt-oss-120b,0.2020795000000000118944853966,10
urn:mcp:tool:wikidata.searchEntities,openai/gpt-oss-20b,0.2020795000000000118944853966,10
