Entity label: The Devil's Backbone
Entity IRI: http://metaqa.org/entity/the_devils_backbone
Appears as anchor in 1 MetaQA question(s)
Local graph context:
The Devil's Backbone | directed_by | guillermo_del_toro
The Devil's Backbone | has_genre | horror
The Devil's Backbone | has_tags | civil_war
The Devil's Backbone | has_tags | guillermo_del_toro
The Devil's Backbone | has_tags | spanish
The Devil's Backbone | has_tags | spanish_civil_war
The Devil's Backbone | has_tags | war
The Devil's Backbone | in_language | spanish
The Devil's Backbone | release_year | 2001
The Devil's Backbone | written_by | antonio_trashorras
The Devil's Backbone | written_by | david_muoz
The Devil's Backbone | written_by | guillermo_del_toro
The Devil's Backbone | label | The Devil's Backbone
