Entity label: A League of Their Own
Entity IRI: http://metaqa.org/entity/a_league_of_their_own
Appears as anchor in 1 MetaQA question(s)
Local graph context:
A League of Their Own | directed_by | penny_marshall
A League of Their Own | has_genre | comedy
A League of Their Own | has_genre | drama
A League of Their Own | has_tags | baseball
A League of Their Own | has_tags | drama
A League of Their Own | has_tags | geena_davis
A League of Their Own | has_tags | madonna
A League of Their Own | has_tags | penny_marshall
A League of Their Own | has_tags | rosie_odonnell
A League of Their Own | has_tags | tom_hanks
A League of Their Own | release_year | 1992
A League of Their Own | starred_actors | geena_davis
A League of Their Own | starred_actors | lori_petty
A League of Their Own | starred_actors | madonna
A League of Their Own | starred_actors | tom_hanks
A League of Their Own | written_by | babaloo_mandel
A League of Their Own | written_by | kelly_candaele
A League of Their Own | written_by | kim_wilson
A League of Their Own | written_by | lowell_ganz
A League of Their Own | label | A League of Their Own
