Entity label: The Secret Garden
Entity IRI: http://metaqa.org/entity/the_secret_garden
Appears as anchor in 1 MetaQA question(s)
Local graph context:
The Secret Garden | directed_by | agnieszka_holland
The Secret Garden | directed_by | fred_m_wilcox
The Secret Garden | has_genre | drama
The Secret Garden | has_genre | fantasy
The Secret Garden | has_tags | agnieszka_holland
The Secret Garden | has_tags | england
The Secret Garden | has_tags | secret
The Secret Garden | release_year | 1949
The Secret Garden | release_year | 1993
The Secret Garden | starred_actors | margaret_obrien
The Secret Garden | written_by | frances_hodgson_burnett
The Secret Garden | written_by | robert_ardrey
The Secret Garden | label | The Secret Garden
