Entity label: The Treasure of the Sierra Madre
Entity IRI: http://metaqa.org/entity/the_treasure_of_the_sierra_madre
Appears as anchor in 1 MetaQA question(s)
Local graph context:
The Treasure of the Sierra Madre | directed_by | john_huston
The Treasure of the Sierra Madre | has_genre | adventure
The Treasure of the Sierra Madre | has_genre | drama
The Treasure of the Sierra Madre | has_tags | bd-r
The Treasure of the Sierra Madre | has_tags | gold
The Treasure of the Sierra Madre | has_tags | humphrey_bogart
The Treasure of the Sierra Madre | has_tags | john_huston
The Treasure of the Sierra Madre | has_tags | national_film_registry
The Treasure of the Sierra Madre | in_language | english
The Treasure of the Sierra Madre | release_year | 1948
The Treasure of the Sierra Madre | starred_actors | humphrey_bogart
The Treasure of the Sierra Madre | starred_actors | tim_holt
The Treasure of the Sierra Madre | starred_actors | walter_huston
The Treasure of the Sierra Madre | written_by | b_traven
The Treasure of the Sierra Madre | written_by | john_huston
The Treasure of the Sierra Madre | label | The Treasure of the Sierra Madre
