Entity label: The Quiet Man
Entity IRI: http://metaqa.org/entity/the_quiet_man
Appears as anchor in 1 MetaQA question(s)
Local graph context:
The Quiet Man | directed_by | john_ford
The Quiet Man | has_genre | comedy
The Quiet Man | has_genre | drama
The Quiet Man | has_tags | cinematography
The Quiet Man | has_tags | john_ford
The Quiet Man | has_tags | john_wayne
The Quiet Man | has_tags | maureen_ohara
The Quiet Man | in_language | irish
The Quiet Man | release_year | 1952
The Quiet Man | starred_actors | barry_fitzgerald
The Quiet Man | starred_actors | john_wayne
The Quiet Man | starred_actors | maureen_ohara
The Quiet Man | starred_actors | ward_bond
The Quiet Man | written_by | frank_s_nugent
The Quiet Man | written_by | maurice_walsh
The Quiet Man | label | The Quiet Man
