Entity label: Two Lovers
Entity IRI: http://metaqa.org/entity/two_lovers
Appears as anchor in 1 MetaQA question(s)
Local graph context:
Two Lovers | directed_by | james_gray
Two Lovers | has_genre | drama
Two Lovers | has_tags | drama
Two Lovers | has_tags | gwyneth_paltrow
Two Lovers | has_tags | james_gray
Two Lovers | has_tags | jewish
Two Lovers | has_tags | joaquin_phoenix
Two Lovers | has_tags | new_york_city
Two Lovers | release_year | 2008
Two Lovers | starred_actors | joaquin_phoenix
Two Lovers | written_by | james_gray
Two Lovers | label | Two Lovers
