Entity label: A Canterbury Tale
Entity IRI: http://metaqa.org/entity/a_canterbury_tale
Appears as anchor in 1 MetaQA question(s)
Local graph context:
A Canterbury Tale | directed_by | emeric_pressburger
A Canterbury Tale | directed_by | michael_powell
A Canterbury Tale | has_tags | bd-r
A Canterbury Tale | has_tags | emeric_pressburger
A Canterbury Tale | has_tags | michael_powell
A Canterbury Tale | release_year | 1944
A Canterbury Tale | starred_actors | dennis_price
A Canterbury Tale | starred_actors | eric_portman
A Canterbury Tale | starred_actors | john_sweet
A Canterbury Tale | starred_actors | sheila_sim
A Canterbury Tale | written_by | emeric_pressburger
A Canterbury Tale | written_by | michael_powell
A Canterbury Tale | label | A Canterbury Tale
