Entity label: The Secret of NIMH
Entity IRI: http://metaqa.org/entity/the_secret_of_nimh
Appears as anchor in 1 MetaQA question(s)
Local graph context:
The Secret of NIMH | directed_by | don_bluth
The Secret of NIMH | has_genre | drama
The Secret of NIMH | has_tags | animated
The Secret of NIMH | has_tags | directorial_debut
The Secret of NIMH | has_tags | don_bluth
The Secret of NIMH | has_tags | fantasy
The Secret of NIMH | has_tags | rats
The Secret of NIMH | release_year | 1982
The Secret of NIMH | starred_actors | arthur_malet
The Secret of NIMH | starred_actors | derek_jacobi
The Secret of NIMH | starred_actors | dom_deluise
The Secret of NIMH | starred_actors | elizabeth_hartman
The Secret of NIMH | written_by | don_bluth
The Secret of NIMH | written_by | robert_c_obrien
The Secret of NIMH | label | The Secret of NIMH
