Entity label: The White Sheik
Entity IRI: http://metaqa.org/entity/the_white_sheik
Appears as anchor in 1 MetaQA question(s)
Local graph context:
The White Sheik | directed_by | federico_fellini
The White Sheik | has_genre | comedy
The White Sheik | has_tags | federico_fellini
The White Sheik | in_language | italian
The White Sheik | release_year | 1952
The White Sheik | starred_actors | alberto_sordi
The White Sheik | starred_actors | brunella_bovo
The White Sheik | starred_actors | giulietta_masina
The White Sheik | starred_actors | leopoldo_trieste
The White Sheik | written_by | ennio_flaiano
The White Sheik | written_by | federico_fellini
The White Sheik | written_by | michelangelo_antonioni
The White Sheik | written_by | tullio_pinelli
The White Sheik | label | The White Sheik
