Entity label: In Time
Entity IRI: http://metaqa.org/entity/in_time
Appears as anchor in 1 MetaQA question(s)
Local graph context:
In Time | directed_by | andrew_niccol
In Time | has_genre | thriller
In Time | has_tags | amanda_seyfried
In Time | has_tags | andrew_niccol
In Time | has_tags | dystopia
In Time | has_tags | justin_timberlake
In Time | has_tags | thriller
In Time | has_tags | time
In Time | release_year | 2011
In Time | starred_actors | justin_timberlake
In Time | written_by | andrew_niccol
In Time | label | In Time
