Entity label: Blackout
Entity IRI: http://metaqa.org/entity/blackout
Appears as anchor in 1 MetaQA question(s)
Local graph context:
Blackout | directed_by | jerry_lamothe
Blackout | directed_by | rigoberto_castaeda
Blackout | has_genre | horror
Blackout | has_tags | serial_killer
Blackout | release_year | 2007
Blackout | release_year | 2008
Blackout | starred_actors | aidan_gillen
Blackout | starred_actors | amber_tamblyn
Blackout | starred_actors | armie_hammer
Blackout | starred_actors | jeffrey_wright
Blackout | starred_actors | katie_stuart
Blackout | starred_actors | michael_b_jordan
Blackout | starred_actors | zoe_saldana
Blackout | written_by | jerry_lamothe
Blackout | label | Blackout
