s,p,o
http://www.wikidata.org/entity/Q42,http://www.wikidata.org/prop/direct/P9984,981058527710806706
http://www.wikidata.org/entity/Q42,http://www.wikidata.org/prop/direct/P9995,157777
http://www.wikidata.org/entity/Q42,http://www.wikidata.org/prop/direct/P989,http://commons.wikimedia.org/wiki/Special:FilePath/Wikipedia%20-%20Douglas%20Adams%20%28spoken%20by%20AI%20voice%29.mp3
http://www.wikidata.org/entity/Q42,http://www.wikidata.org/prop/direct/P9964,119033364
http://www.wikidata.org/entity/Q42,http://www.wikidata.org/prop/direct/P9918,PE00105434
http://www.wikidata.org/entity/Q42,http://www.wikidata.org/prop/direct/P9743,107a9B0DKL
http://www.wikidata.org/entity/Q42,http://www.wikidata.org/prop/direct/P9802,114
http://www.wikidata.org/entity/Q42,http://www.wikidata.org/prop/direct/P9965,40231
http://www.wikidata.org/entity/Q42,http://www.wikidata.org/prop/direct/P998,"Arts/Literature/Authors/A/Adams,_Douglas/"
http://www.wikidata.org/entity/Q42,http://www.wikidata.org/prop/direct/P9707,17011
