rank,candidateLabel,viaProperty2,viaDirection2,hop1Label,viaProperty1,viaDirection1
1,Hukkle,http://metaqa.org/relation/directed_by,in,György Pálfi,http://metaqa.org/relation/directed_by,out
2,10,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
3,A Hungarian Fairy Tale,http://metaqa.org/relation/in_language,in,Hungarian,http://metaqa.org/relation/in_language,out
4,100 Bloody Acres,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
5,10 Minutes,http://metaqa.org/relation/has_genre,in,Drama,http://metaqa.org/relation/has_genre,out
6,100 Feet,http://metaqa.org/relation/has_genre,in,Horror,http://metaqa.org/relation/has_genre,out
7,100 Girls,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
8,An American Rhapsody,http://metaqa.org/relation/in_language,in,Hungarian,http://metaqa.org/relation/in_language,out
9,10 Rillington Place,http://metaqa.org/relation/has_genre,in,Drama,http://metaqa.org/relation/has_genre,out
10,100 Ways to Murder Your Wife,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
11,11-11-11,http://metaqa.org/relation/has_genre,in,Horror,http://metaqa.org/relation/has_genre,out
12,Arsenic and Old Lace,http://metaqa.org/relation/has_tags,in,dark comedy,http://metaqa.org/relation/has_tags,out
13,101 Dalmatians,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
14,Damnation,http://metaqa.org/relation/in_language,in,Hungarian,http://metaqa.org/relation/in_language,out
15,13 Ghosts,http://metaqa.org/relation/has_genre,in,Horror,http://metaqa.org/relation/has_genre,out
16,102 Dalmatians,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
17,Fargo,http://metaqa.org/relation/has_tags,in,dark comedy,http://metaqa.org/relation/has_tags,out
18,10 Items or Less,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
19,127 Hours,http://metaqa.org/relation/has_genre,in,Drama,http://metaqa.org/relation/has_genre,out
20,Death Defying Acts,http://metaqa.org/relation/in_language,in,Hungarian,http://metaqa.org/relation/in_language,out
21,10 Things I Hate About You,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
22,Four Lions,http://metaqa.org/relation/has_tags,in,dark comedy,http://metaqa.org/relation/has_tags,out
23,10 Years,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
24,1408,http://metaqa.org/relation/has_genre,in,Horror,http://metaqa.org/relation/has_genre,out
25,13 Going on 30,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
26,12 and Holding,http://metaqa.org/relation/has_genre,in,Drama,http://metaqa.org/relation/has_genre,out
27,13 Sins,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
28,Fehérlófia,http://metaqa.org/relation/in_language,in,Hungarian,http://metaqa.org/relation/in_language,out
29,God Bless America,http://metaqa.org/relation/has_tags,in,dark comedy,http://metaqa.org/relation/has_tags,out
30,16 to Life,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
31,12 Angry Men,http://metaqa.org/relation/has_genre,in,Drama,http://metaqa.org/relation/has_genre,out
32,17 Again,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
33,18 Again!,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
34,1941,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
35,1981,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
36,2001 Maniacs,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
37,2-Headed Shark Attack,http://metaqa.org/relation/has_genre,in,Horror,http://metaqa.org/relation/has_genre,out
38,200 Cigarettes,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
39,21 Jump Street,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
40,12 Storeys,http://metaqa.org/relation/has_genre,in,Drama,http://metaqa.org/relation/has_genre,out
41,Heathers,http://metaqa.org/relation/has_tags,in,dark comedy,http://metaqa.org/relation/has_tags,out
42,"Good Evening, Mr. Wallenberg",http://metaqa.org/relation/in_language,in,Hungarian,http://metaqa.org/relation/in_language,out
43,22 Jump Street,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
44,24 Hour Party People,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
45,25 Watts,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
46,12 Years a Slave,http://metaqa.org/relation/has_genre,in,Drama,http://metaqa.org/relation/has_genre,out
47,27 Dresses,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
48,28 Days,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
49,29th Street,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
50,2 Days in New York,http://metaqa.org/relation/has_genre,in,Comedy,http://metaqa.org/relation/has_genre,out
